NO.1,NO.2,diff-correlation
56,319,31.6439,
56,334,16.6939,
56,375,6.64484,
56,382,12.8846,
56,386,16.6595,
57,86,5.34963,
57,105,13.6372,
57,107,5.61256,
57,120,5.52228,
57,128,16.5363,
57,130,7.17431,
57,155,23.9985,
57,182,8.51865,
57,192,8.32317,
57,201,9.59445,
57,206,8.43403,
57,219,12.9828,
57,264,24.6167,
57,270,5.46593,
57,334,39.6305,
57,351,5.04848,
57,372,7.43259,
57,375,7.59315,
57,386,77.6586,
58,85,13.9872,
58,87,52.1875,
58,108,241.53,
58,190,14.7417,
58,199,10.4731,
58,209,6.88603,
58,225,5.3488,
58,298,6.5831,
58,302,38.5047,
58,349,7.01675,
58,367,5.63079,
58,374,5.54363,
59,84,92.3401,
59,92,27.0085,
59,108,11.0266,
59,110,5.1715,
59,141,14.6378,
59,147,11.4014,
59,167,5.55982,
59,168,8.99873,
59,205,6.8861,
59,232,6.10237,
59,238,8.43972,
59,252,6.28578,
59,261,15.9337,
59,270,11.5626,
59,271,9.24958,
59,275,7.53237,
59,276,8.7294,
59,279,9.59612,
59,289,11.0753,
59,291,312.842,
59,292,8.47876,
59,294,6.66935,
59,298,5.12332,
59,304,7.31732,
59,320,25.3861,
59,325,14.846,
59,326,9.91794,
59,339,5.14341,
59,354,19.3292,
59,373,12.0833,
59,388,18.4309,
60,79,6.10078,
60,84,34.7218,
60,91,12.4518,
60,96,9.67894,
60,125,5.61197,
60,126,18.5468,
60,136,208.227,
60,138,5.117,
60,142,54.6018,
60,146,62.9947,
60,153,5.05805,
60,162,5.02104,
60,167,7.18504,
60,175,17.8517,
60,177,34.6514,
60,179,14.5683,
60,185,6.63726,
60,196,18.2973,
60,201,7.7774,
60,203,6.62127,
60,206,22.1385,
60,215,5.1775,
60,219,8.31924,
60,223,26.9093,
60,228,509.612,
60,232,7.39778,
60,234,6.92115,
60,254,6.17624,
60,255,5.85412,
60,257,11.5827,
60,274,8.4882,
60,275,8.03466,
60,287,20.3188,
60,313,6.13546,
60,331,7.20438,
60,333,6.67811,
60,334,164.526,
60,342,20.662,
60,354,6.13431,
60,355,6.76066,
60,357,7.54745,
60,360,5.98491,
60,362,41.5931,
60,365,20.9624,
60,382,8.62042,
60,386,8.53088,
60,389,6.23652,
61,76,8.74298,
61,114,8.69129,
61,138,13.8873,
61,146,21.5098,
61,180,52.1124,
61,205,6.37419,
61,230,20.0806,
61,251,5.54583,
61,252,12.3121,
61,326,9.8244,
61,338,14.0616,
61,345,5.66182,
61,348,5.25958,
61,353,7.21977,
61,366,7.56504,
61,370,26.6237,
62,64,29.9008,
62,79,7.1726,
62,85,22.4428,
62,95,13.5991,
62,96,8.93845,
62,103,7.35258,
62,115,80.8557,
62,118,8.4367,
62,119,6.46927,
62,123,10.3655,
62,132,13.4751,
62,141,5.95143,
62,146,36.3534,
62,164,98.2854,
62,167,10.4231,
62,179,5.33121,
62,196,32.1529,
62,202,12.9558,
62,208,6.71711,
62,226,12.3449,
